index:ID,director,:LABEL
10288950,斯特凡·奥比尔,person
13493940,尹宰久,person
13510340,魏民,person
13081300,郑勇基,person
12058670,下山天,person
13370750,国东锡,person
13399510,安迪·戈达德,person
13323730,宋阳,person
10327850,杰克·斯迈特,person
13247220,约翰·埃里克·道达尔,person
12749790,肖央,person
13273060,三浦大辅,person
11036880,梅拉尼·罗兰,person
12763140,克里斯托弗·麦奎里,person
10095190,米凯尔·哈弗斯特罗姆,person
13717900,村石宏实,person
10106070,卡梅伦·克罗,person
13409580,蒋卓原,person
11086000,苏珊·约翰逊,person
13624890,王鑫,person
13816430,张吃鱼,person
13413270,傅绍杰,person
10408920,金成洙,person
14088960,特洛伊·奎安,person
10195030,克洛德·皮诺托,person
10002170,大卫·戈登·格林,person
10005950,彼德·切尔瑟姆,person
12889850,韦恩·克雷默,person
14022810,西达夫·马贺拉,person
12744990,章明,person
13238490,克里斯托弗·麦克布莱德,person
10049190,扎克·海尔姆,person
12420080,卡斯蒂利·兰登,person
12848730,克雷格·吉勒斯佩,person
13632290,艾瑞克·莎莫,person
10451140,多米尼克·塞纳,person
10050990,安德烈·萨金塞夫,person
13388850,李奥,person
12903940,路学长,person
13858300,赵锐,person
12889230,彼得·考斯明斯金,person
10051700,安吉拉·罗宾森,person
14369670,布雷特·皮尔斯,person
13445240,保罗·布里格斯,person
14138950,金光彬,person
13130220,镝木宏,person
12835550,山姆·菲尔,person
14316750,田村耕太郎,person
10095510,沃利·菲斯特,person
13156690,丰田利晃,person
10255260,谷德昭,person
13147420,孙达,person
12744980,张瑜,person
10278310,斯派克·琼斯,person
14589970,黄发,person
13462390,孙泰雄,person
10371550,玛琳·格里斯,person
13152030,钱人豪,person
14231780,瑞恩·斯宾德尔,person
14553160,斯特里奥斯·卡米蒂斯,person
13773670,萩原健太郎,person
13169130,武内英树,person
10254520,李修贤,person
12965010,马哈曼特-萨雷·哈隆,person
13328320,陈方千,person
10356510,贝纳尔多·贝托鲁奇,person
10182550,乔·罗斯,person
10179790,托尼·斯科特,person
13896400,任旭东,person
10142460,斯图尔特·贝尔德,person
13288350,史凤和,person
13227740,伊力奇,person
10007450,约书亚·萨弗迪,person
13600610,崔震东,person
13171030,方文山,person
13996860,本·福斯特,person
13435090,阿部记之,person
10505910,吉拉尔·皮雷,person
13311130,金丙书,person
13806630,杰森·西森,person
13308320,安东尼·斯塔基,person
10124700,雅克·玛尔提诺,person
13093850,黄修平,person
10180940,格里格·伯兰蒂,person
13161810,万玛才旦,person
13378160,叶天伦,person
10454440,奥黛丽·威尔斯,person
13153270,山本泰一郎,person
13156400,乔丹·斯科特,person
13165470,吴卫东,person
13320380,森田修平,person
10183330,雅克·德米,person
10452520,罗恩·克莱蒙兹,person
13035170,佐藤祐市,person
13583600,陈未衾,person
13345450,科迪·卡梅伦,person
13605730,亨利·朱斯特,person
13171460,王岳伦,person
13017100,周晓文,person
13253200,尹学烈,person
14285190,亚当·B·斯坦,person
10415730,川尻善昭,person
13548050,邹燚,person
10125520,托德·布朗宁,person
10553150,汉尼·阿布-阿萨德,person
13873230,伊藤尚往,person
13650620,谢尔盖·马克利斯基,person
13093420,内田贤治,person
10247630,杰夫·福勒,person
12748410,张鑫炎,person
10325990,罗伯特·高洛斯,person
10001760,亚历杭德罗·阿梅纳瓦尔,person
13740990,安托万·布勒西耶,person
12761940,约翰·达尔,person
13593690,洪昇扬,person
13692780,热纳罗·努基阿德,person
10496370,乔·舒马赫,person
13252900,S·S·拉贾穆里,person
13516550,安竹间,person
11497700,托德·施特劳斯-舒尔森,person
10408000,哈里纳·雷金,person
10107090,诺曼·杰威森,person
10495760,尼尔·布洛姆坎普,person
13177330,佐藤敬一,person
12748340,约翰·卡兰,person
13477040,董春泽,person
14053510,林京泽,person
13739440,黄美娜,person
13597540,张涛,person
13185330,马侃,person
13443020,藤井道人,person
10051120,宫崎吾朗,person
13407940,陈奥图,person
10140370,李·丹尼尔斯,person
13986890,二宫健,person
13714330,迈克·P·纳尔逊,person
10005250,吴京,person
13519660,黎涛,person
13174080,姜凯阳,person
12746480,沙溢,person
12827770,詹姆斯·达菲,person
13239680,王才涛,person
10147560,摩砂雪,person
13241030,于胜军,person
12928320,马克·米罗,person
13462040,金东斌,person
12599840,乔什·鲁本,person
12855550,J·麦基·格鲁伯,person
13246120,罗登,person
12791930,艾什·布兰农,person
13753010,小仓宏文,person
13155450,李在容,person
13141520,安彦良和,person
13001410,米古尔·安格尔·维瓦斯,person
13411780,周润泽,person
12957140,克里斯蒂安·瑞沃斯,person
10417700,嘉瑞斯·贾里维克,person
13180480,江海洋,person
12903160,菲尔·罗德,person
