index:ID,actor,:LABEL
1076217,罗杰·卡萨马杰,person
1133419,列夫·波利亚科夫,person
1041501,雅各布·布伦特,person
1274529,钟舒漫,person
1013909,安德鲁·劳伦斯,person
1219054,朴海日,person
1000915,希欧布罕·休莱特,person
1321108,李艺科,person
1083787,Medea Djaparidze,person
1408917,周一菡,person
1321314,罗钧满,person
1365352,哈拉尔德·罗森斯特罗姆,person
1084453,伊莲娜·德罗佩科,person
1281523,道格拉斯·克罗斯比,person
1399832,Tumurbaatar Enkhtungalag,person
1083045,朱利叶斯·欧文,person
1168964,奥托·维尔尼克,person
1341883,马修张伯伦,person
1114732,维克托·洛伦茨,person
1049694,凯尔·柏海莫,person
1157294,珂洛丽·斯普尔,person
1305505,马特·贝克,person
1358604,李杭娜,person
1374380,陈建兴,person
1357161,曹承衍,person
1362806,广濑裕也,person
1328631,武内健,person
1253064,约瑟夫·H·卡尼奥尔,person
1037544,桑岛法子,person
1103069,Chris Huse,person
1376200,罗伯特·古拉奇克,person
1123475,丽莎·玛丽,person
1062496,约翰·哈林顿·布兰德,person
1127826,埃斯特尔·帕森斯,person
1375402,邱玲,person
1287509,克莱顿·雅各布森,person
1325358,兰迪普·弘达,person
1364518,禹都临,person
1111137,罗杰·英霍夫,person
1399251,新祐树,person
1049713,詹姆斯·达西,person
1147054,约翰·瑞斯-戴维斯,person
1014733,卢乔·费尔南德斯,person
1000854,杰西卡·杜布林,person
1367464,托马斯·特拉巴齐,person
1326080,瑞贝卡·马绍尔,person
1381370,周帅,person
1323989,托米瓦·埃敦,person
1361255,何永祥,person
1386078,克尔斯滕·奥尔特,person
1313982,何沄伟,person
1033246,杰克·巴里,person
1096089,芮妮·戈兹贝里,person
1160463,莎莉·托姆塞特,person
1381439,贡萨洛·罗伯斯,person
1344772,雷豪特·比瑟马克,person
1248523,恒松步,person
1168506,Doodles Weaver,person
1330872,周宁朝,person
1329107,石川由依,person
1292702,伊恩·穆内,person
1000433,杰里·莱西,person
1009893,加斯帕·帕科农,person
1135241,让-保罗·穆利诺,person
1356047,伊莎贝拉·莫奈,person
1399689,李赏,person
1314524,常铖,person
1215757,奥奎·奥克波克瓦西里,person
1266093,肖恩·迈克尔·坎宁安,person
1025698,渡濑恒彦,person
1373293,苏哈妮·巴特纳格尔,person
1335907,巴雷特·卡纳汗,person
